cntry,pplfair,pplhlp,ppltrst,implvdm,trstlgl,trstplc,trstplt,trstprl,trstprt,trstsci
FI,8,5,8,10,9,9,6,7,6,9
FI,8,6,8,10,9,8,8,9,8,9
FI,9,8,8,10,10,10,7,7,6,9
FI,7,7,6,10,9,9,6,8,7,8
FI,7,10,6,6,7,8,4,5,4,10
FI,10,10,9,10,10,10,9,10,9,9
FI,7,8,4,10,9,7,5,9,4,8
FI,6,5,7,10,7,7,6,8,7,8
FI,7,6,7,10,6,7,5,7,6,7
FI,8,4,7,9,9,9,4,8,5,7
FI,7,8,6,10,8,8,7,9,6,9
FI,5,6,5,10,5,5,4,3,5,6
FI,7,7,7,10,9,10,8,8,8,9
FI,8,7,9,10,9,7,6,10,6,7
FI,9,8,9,9,7,8,3,4,5,7
FI,9,7,8,9,7,8,7,7,7,8
FI,3,5,2,9,2,8,2,6,2,3
FI,8,6,8,9,3,4,5,3,4,8
FI,7,7,6,10,8,8,6,7,6,9
FI,8,7,8,10,8,9,4,6,4,9
FI,8,8,7,8,8,10,5,7,2,8
FI,9,6,9,9,9,8,7,7,6,9
FI,5,8,5,9,6,7,5,5,5,7
FI,7,7,8,7,9,9,8,9,8,8
FI,8,8,7,8,4,10,8,5,8,10
FI,7,5,4,10,8,10,6,8,6,7
FI,8,5,9,10,10,4,7,9,9,9
FI,6,4,8,10,8,9,6,8,4,8
FI,8,9,10,10,9,9,4,4,4,8
FI,9,8,8,10,9,9,7,8,8,8
FI,6,7,7,8,8,8,7,7,7,8
FI,10,10,10,10,6,9,4,6,5,8
FI,8,8,9,10,9,9,8,9,7,9
FI,8,3,5,7,6,9,2,4,2,8
FI,9,4,9,10,4,6,4,4,3,6
FI,7,5,5,10,9,8,8,9,8,9
FI,5,6,8,10,7,8,7,8,7,9
FI,8,8,5,10,8,9,7,10,6,7
FI,3,3,5,8,7,7,3,5,3,5
FI,8,8,9,9,8,9,7,8,8,9
FI,5,4,7,8,7,9,2,5,4,8
FI,9,8,9,10,9,9,6,8,6,10
FI,8,7,8,8,8,8,7,7,7,6
FI,7,4,4,7,7,9,6,6,6,8
FI,7,6,8,9,8,9,7,7,5,4
FI,9,7,7,7,6,8,7,5,7,8
FI,8,8,9,10,8,9,8,7,6,4
FI,5,3,7,10,5,7,3,5,2,5
FI,8,6,7,7,7,7,4,5,2,5
