cntry,ppltrst,pplfair,pplhlp,trstprl,trstlgl,trstplc,trstplt,trstprt,trstsci,implvdm
BE,5,5,4,4,4,6,3,3,7,8
BE,8,8,1,0,0,0,0,0,10,3
BE,5,4,6,3,4,6,4,4,6,6
BE,8,8,6,7,7,7,6,6,9,10
BE,6,7,6,7,8,8,6,6,8,9
BE,5,5,5,5,3,7,4,4,5,10
BE,8,5,2,4,7,8,2,3,5,5
BE,2,3,5,6,4,8,2,6,9,9
BE,8,5,2,3,7,8,2,2,9,8
BE,7,10,9,9,9,10,9,9,6,9
BE,8,6,8,5,8,6,5,5,8,10
BE,7,7,4,6,7,8,8,7,8,9
BE,3,2,2,2,5,8,8,2,10,10
BE,9,2,3,2,2,2,0,0,8,0
BE,6,5,2,4,4,8,3,2,9,8
BE,3,8,5,4,7,5,4,6,5,4
BE,7,8,0,7,2,2,5,2,7,7
BE,7,7,6,7,8,8,6,6,8,10
BE,3,6,4,3,5,5,0,0,7,10
BE,6,6,3,7,7,6,6,6,7,5
BE,3,4,3,3,6,3,2,2,8,9
BE,6,4,3,7,7,8,6,4,10,10
BE,5,5,2,4,5,6,2,2,3,4
BE,7,7,7,6,8,8,6,6,8,10
BE,8,8,5,7,6,7,2,4,8,10
BE,4,5,6,7,5,5,6,6,8,10
BE,5,5,4,5,0,2,0,5,5,7
BE,7,7,6,7,8,7,6,7,7,10
BE,7,7,5,6,7,6,5,5,9,10
BE,5,8,5,5,5,8,3,2,6,8
BE,6,7,5,4,5,5,3,3,5,5
BE,2,5,2,3,3,4,4,4,7,10
BE,7,8,3,6,9,6,2,2,7,10
BE,6,7,7,6,6,8,7,7,8,8
BE,7,7,6,8,4,7,5,6,8,10
BE,5,6,5,6,9,9,3,3,7,10
BE,3,6,4,5,3,3,3,3,6,9
BE,3,4,3,2,6,7,2,3,8,10
BE,4,4,4,7,8,8,7,7,7,8
BE,8,8,6,5,6,5,3,4,9,10
BE,6,7,7,6,6,7,6,4,7,9
BE,7,7,5,3,3,7,3,3,5,9
BE,7,6,5,6,6,7,5,6,6,10
BE,7,7,4,4,3,7,2,3,8,9
BE,4,7,7,3,4,4,1,2,7,10
BE,7,6,5,1,0,5,1,0,8,10
BE,2,5,5,7,8,7,5,5,8,10
BE,8,6,5,5,7,7,5,5,8,10
BE,7,6,7,6,8,7,6,6,8,9
BE,5,4,3,4,5,5,3,3,7,7
BE,5,6,3,7,6,8,5,6,8,9
BE,2,7,2,5,6,8,7,5,5,10
BE,8,8,6,3,7,9,4,4,8,7
BE,1,1,2,0,3,5,0,0,5,8
BE,5,8,6,8,6,6,5,5,8,10
BE,8,7,7,4,4,7,4,4,4,10
BE,5,5,3,3,1,5,1,1,7,8
BE,7,7,7,5,6,8,5,5,7,9
BE,8,8,6,3,7,8,2,4,9,7
BE,5,5,2,1,3,3,1,2,1,8
BE,4,6,6,7,8,6,4,5,10,10
BE,9,7,3,6,7,10,6,5,8,8
BE,7,5,5,6,7,7,4,5,8,10
BE,6,8,6,10,8,10,10,10,10,10
