cntry,ppltrst,pplfair,pplhlp,trstprl,trstlgl,trstplc,trstplt,trstprt,trstsci,implvdm
GB,5,4,5,0,3,2,0,0,8,10
GB,6,8,8,5,7,7,5,5,10,7
GB,3,5,6,6,8,8,6,6,7,10
GB,5,5,6,5,5,6,0,0,7,5
GB,4,3,5,3,2,7,3,3,6,8
GB,7,7,5,7,6,6,6,6,5,0
GB,6,7,7,5,6,4,2,2,8,10
GB,6,6,7,2,2,4,2,2,5,7
GB,3,6,4,3,6,5,3,2,6,9
GB,8,8,5,0,7,3,0,0,8,9
GB,3,6,6,5,6,7,4,4,8,8
GB,7,7,7,1,7,7,1,1,5,10
GB,8,8,8,7,8,8,5,4,8,9
GB,5,5,5,0,7,7,0,0,9,8
GB,7,4,6,4,5,6,4,4,6,6
GB,0,2,4,6,4,4,4,2,8,6
GB,7,5,2,3,3,3,2,2,7,5
GB,8,7,8,7,7,7,3,3,9,10
GB,6,6,5,4,5,7,5,4,7,9
GB,5,6,6,7,8,9,6,6,9,10
GB,9,9,8,7,7,7,7,7,8,10
GB,8,9,8,8,8,8,7,8,10,10
GB,7,7,5,6,8,8,3,3,7,9
GB,4,3,4,2,4,2,0,4,6,10
GB,5,3,2,8,10,9,10,5,6,9
GB,5,7,5,4,6,6,5,6,8,10
GB,8,7,8,3,7,6,1,1,9,10
GB,8,8,7,2,4,1,1,4,7,10
GB,8,4,7,5,8,7,5,7,6,10
GB,7,8,9,7,8,9,7,7,9,10
GB,6,6,6,5,8,8,5,5,6,10
GB,5,7,6,6,5,6,6,6,8,10
GB,5,5,7,7,10,8,2,0,9,10
GB,1,6,2,5,5,8,0,1,8,8
GB,8,5,5,8,8,4,5,0,5,10
GB,5,7,6,5,7,8,4,4,8,10
GB,5,8,7,0,4,4,0,0,6,0
GB,6,3,7,3,8,8,4,2,6,10
GB,10,8,5,5,9,5,5,7,10,8
GB,10,8,10,8,8,8,5,5,5,10
GB,6,6,6,7,9,9,7,6,9,10
GB,5,7,5,7,8,4,6,8,5,10
GB,0,0,0,1,1,4,1,1,1,10
GB,0,2,5,4,7,7,5,4,6,10
GB,5,8,7,2,5,4,1,2,6,10
GB,8,7,7,2,8,9,3,3,9,10
GB,4,5,7,6,8,8,5,4,7,9
GB,6,7,5,3,5,2,4,6,4,10
GB,8,8,7,8,6,7,5,4,7,9
GB,4,5,5,4,6,6,1,1,7,9
GB,8,8,9,5,6,5,4,5,8,10
GB,3,6,5,4,5,8,2,3,4,10
GB,7,7,7,3,3,3,3,3,4,10
GB,6,6,7,2,6,8,3,1,9,10
GB,6,8,7,4,8,8,4,4,8,10
GB,7,8,5,3,5,6,0,3,3,5
GB,3,5,8,2,3,3,0,0,5,1
GB,4,7,6,5,3,8,5,6,8,9
GB,3,5,5,1,3,3,1,5,9,10
GB,7,5,4,2,3,7,0,1,3,8
GB,5,6,6,4,4,2,0,0,4,9
GB,8,9,7,5,7,7,4,4,7,8
