cntry,pplfair,pplhlp,ppltrst,implvdm,trstlgl,trstplc,trstplt,trstprl,trstprt,trstsci
CH,9,10,9,10,7,7,5,8,5,5
CH,7,6,5,10,9,10,6,8,5,8
CH,8,5,6,9,7,8,6,7,5,6
CH,8,3,7,10,2,5,2,6,0,5
CH,8,9,8,10,7,7,5,6,5,9
CH,8,8,8,10,8,8,5,6,7,7
CH,7,7,8,8,6,7,5,5,6,6
CH,9,5,9,10,7,9,7,7,7,8
CH,6,3,6,9,6,7,5,7,5,4
CH,8,7,8,10,9,9,6,8,6,8
CH,5,2,3,10,6,7,6,6,6,8
CH,8,7,8,10,9,7,7,9,5,8
CH,5,4,4,10,6,2,5,3,7,9
CH,5,7,1,10,2,6,4,7,5,8
CH,8,7,5,10,9,9,7,7,7,7
CH,6,3,4,10,6,5,5,7,4,7
CH,7,5,6,10,8,7,8,8,8,9
CH,6,6,6,10,7,7,7,7,7,7
CH,7,8,6,10,10,8,7,9,7,10
CH,8,7,8,10,9,8,7,9,7,10
CH,8,6,8,10,9,9,6,8,7,9
CH,7,7,9,9,8,8,8,9,6,8
CH,10,10,10,10,10,10,6,10,5,9
CH,7,5,4,10,10,8,6,8,6,8
CH,8,6,6,8,7,7,7,7,7,8
CH,4,5,4,10,9,8,7,8,7,8
CH,7,6,8,9,8,4,6,6,8,9
CH,8,8,9,10,5,6,6,2,3,9
CH,6,3,4,9,8,8,6,6,4,8
CH,6,5,4,10,3,0,5,4,5,6
CH,8,5,7,10,8,8,6,7,6,7
CH,7,5,4,9,4,4,5,6,5,7
CH,6,4,5,10,7,5,4,5,4,3
CH,5,6,4,10,8,9,7,7,6,7
CH,8,9,7,10,7,9,5,8,7,9
CH,2,4,4,10,3,6,3,5,4,4
CH,8,6,7,10,7,8,4,6,4,7
CH,5,6,8,10,7,9,8,8,6,7
CH,7,10,5,10,9,10,7,8,7,10
CH,10,10,2,10,6,10,3,4,4,10
CH,10,9,6,10,5,10,6,5,5,9
CH,6,5,7,10,9,8,6,7,7,9
CH,5,8,7,7,6,6,7,8,6,8
CH,7,5,7,10,8,9,6,8,5,6
CH,7,8,7,10,5,3,4,7,3,8
CH,8,6,7,10,7,5,5,6,5,7
CH,8,6,7,10,8,7,6,7,5,7
CH,7,7,7,10,9,9,6,8,4,7
CH,5,2,2,9,7,9,5,7,4,6
CH,9,2,5,10,8,7,3,6,3,8
CH,2,3,2,9,5,3,0,5,0,6
CH,7,5,7,10,8,7,5,8,5,7
CH,7,3,7,10,10,9,8,8,5,9
CH,10,8,8,10,8,8,7,7,8,8
CH,4,6,2,7,5,6,3,5,3,7
CH,8,8,9,9,8,8,4,7,6,7
CH,3,4,3,10,9,10,7,9,7,9
CH,8,2,4,10,2,8,4,5,5,8
